Genus Name,Phyla,Impact,Function,Description,,,,,,,,,,,,,,,,,,,,
Escherichia-Shigella,Proteobacteria,Harmful,Immunity,It is a good indicator of dysbiotic gut and also causes septic shock.,,,,,,,,,,,,,,,,,,,,
Eubacterium,Firmicutes,Helpful,Good Gut health,"It utilizes carbohydrate to produce short chain fatty acids, mainly butyrate, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders. Also provides protection against colorectal cancer, IBD and many other diseases.",,,,,,,,,,,,,,,,,,,,
Faecalibacterium,Firmicutes,Helpful,Good Gut health,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has an anti-inflammatory capacity that promote gut health.",,,,,,,,,,,,,,,,,,,,
Fusicatenibacter,Firmicutes,Helpful,Good gut health,Provides protection against IBD,,,,,,,,,,,,,,,,,,,,
Gemmiger,Proteobacteria,Helpful,Metabolic disorders,Provide protection against IBD and liver diseases,,,,,,,,,,,,,,,,,,,,
Granulicatella,Firmicutes,Harmful,Immunity,It causes disease like Bacterascites.,,,,,,,,,,,,,,,,,,,,
Herbaspirillum,Proteobacteria,Harmful,Immunity,"It causes bacteremia, colorectal cancer.",,,,,,,,,,,,,,,,,,,,
Klebsiella,Proteobacteria,Harmful,Immunity,Cause impaired gut lung infection.,,,,,,,,,,,,,,,,,,,,
Kluyvera,Proteobacteria,Harmful,Immunity,It causes gut infection.,,,,,,,,,,,,,,,,,,,,
Lachnoclostridium,Firmicutes,Helpful,Good gut health,"Indicator of healthy gut, shows anti-inflammatory effect.",,,,,,,,,,,,,,,,,,,,
Lactobacillus,Firmicutes,Helpful,Gastro Intestinal Disorders,"It regulates luminal pH, enhance gut barrier function by increasing mucus production, secrete antimicrobial peptides, help in clearing the pathogens.",,,,,,,,,,,,,,,,,,,,
Lactococcus,Firmicutes,Helpful,Good Gut health,"It utilizes carbohydrate to produce short chain fatty acids, mainly butyrate, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders. Also controls the growth of opportunistic pathogens in gut.",,,,,,,,,,,,,,,,,,,,
Marvinbryantia,Firmicutes,Helpful,Immunity,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has an anti-inflammatory capacity that promote gut health. The lower abundance cause T2D.",,,,,,,,,,,,,,,,,,,,
Megasphaera,Firmicutes,Helpful,Gastro Intestinal Disorders,It provides protection against diarrhoea.,,,,,,,,,,,,,,,,,,,,
Methylobacterium-Methylorubrum,Proteobacteria,Harmful,Gastro Intestinal Disorders,"It is an Opportunistic pathogen, cause severe infection when the immune system is weak and also causes constipation",,,,,,,,,,,,,,,,,,,,
Moryella,Firmicutes,Harmful,Immunity,It causes bacteremia.,,,,,,,,,,,,,,,,,,,,
Muribaculaceae,Bacteroidetes,Helpful,Immunity,"It utilizes carbohydrate to produce short chain fatty acids, mainly butyrate, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders. Also controls the growth of opportunistic pathogens in gut.",,,,,,,,,,,,,,,,,,,,
Odoribacter,Bacteroidetes,Helpful,Immunity,Improves glucose control and inflammatory profile.,,,,,,,,,,,,,,,,,,,,
Oxalobacter,Proteobacteria,Helpful,Metabolism,It reduces the risk of kidney stone formation and maintain proper kidney health.,,,,,,,,,,,,,,,,,,,,
Parabacteroides,Bacteroidetes,Helpful,Obesity,"It helps in carbohydrate metabolism and secrets short chain fatty acids which reduces the risk of IBD, metabolic diseases, obesity",,,,,,,,,,,,,,,,,,,,
Parasutterella,Proteobacteria,Harmful,Obesity,Related to T2D and obesity,,,,,,,,,,,,,,,,,,,,
Phascolarctobacterium,Firmicutes,Helpful,Good Gut health,"It utilizes carbohydrate to produce short chain fatty acids, mainly butyrate, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders. Also controls the growth of opportunistic pathogens in gut.",,,,,,,,,,,,,,,,,,,,
Prevotella,Bacteroidetes,Helpful,Immunity,It contributes to polysaccharide breakdown but higher abundance cause inflammation.,,,,,,,,,,,,,,,,,,,,
Pseudoflavonifractor,Firmicutes,Harmful,Obesity,Involved in the development of obesity associated T2D development,,,,,,,,,,,,,,,,,,,,
Rikenellaceae_RC9_gut_group,Bacteroidetes,Harmful,Metabolic disorders,Involved in high fat diet induced obesity,,,,,,,,,,,,,,,,,,,,
Romboutsia,Firmicutes,Helpful,Good gut health,The abundance decreases in colorectal cancer patients.,,,,,,,,,,,,,,,,,,,,
Roseburia,Firmicutes,Helpful,Good Gut health,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has an anti-inflammatory capacity that promote gut health.",,,,,,,,,,,,,,,,,,,,
Ruminococcus,Firmicutes,Harmful,Immunity,"Associated to crohn's disease, produce inflammatory polysaccharides",,,,,,,,,,,,,,,,,,,,
Shewanella,Proteobacteria,Helpful,Good Gut health,It has probiotic property,,,,,,,,,,,,,,,,,,,,
Slackia,Actinobacteria,Helpful,Metabolism,It helps in lipid metabolism,,,,,,,,,,,,,,,,,,,,
Subdoligranulum,Firmicutes,Helpful,Diabetes,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has an anti-inflammatory capacity that promote gut health, decrease the risk of obesity, T2D, NAFLD.",,,,,,,,,,,,,,,,,,,,
Turicibacter,Firmicutes,Harmful,Mental Wellness,Cause obesity and depression,,,,,,,,,,,,,,,,,,,,
Veillonella,Firmicutes,Helpful,Good Gut health,"It utilizes carbohydrate to produce short chain fatty acids, mainly butyrate, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders, maintain colonic immune homeostasis.",,,,,,,,,,,,,,,,,,,,
Agathobacter,Firmicutes,Helpful,Mental Wellness,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has a anti-inflammatory capacity.",,,,,,,,,,,,,,,,,,,,
Akkermansia,Verrucomicrobia,Helpful,Good Gut Health,It has ability to control blood glucose level also provide protection against insulin resistance and maintain the integrity of the gut barrier junction.,,,,,,,,,,,,,,,,,,,,
Alistipes,Bacteroidetes,Helpful,Mental Wellness,"This genus provides protection against various diseases such as liver fibrosis, colorectal cancer, colitis, cardiovascular disease and various mood disorders.",,,,,,,,,,,,,,,,,,,,
Anaerostipes,Firmicutes,Helpful,Mental Wellness,"It utilizes carbohydrate to produce short chain fatty acids, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders.",,,,,,,,,,,,,,,,,,,,
Bifidobacterium,Actinobacteria,Helpful,Nutrition,"It helps to digest fibre and produce lots of important healthy chemicals, which prevent infections.",,,,,,,,,,,,,,,,,,,,
Butyricicoccus,Firmicutes,Helpful,Good Gut health,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has an anti-inflammatory capacity. Also provides protection against colorectal cancer",,,,,,,,,,,,,,,,,,,,
Butyricimonas,Bacteroidetes,Helpful,Mental Wellness,"It utilizes carbohydrate to produce short chain fatty acids, mainly butyrate, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders.",,,,,,,,,,,,,,,,,,,,
Butyrivibrio,Firmicutes,Helpful,Good Gut health,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has an anti-inflammatory capacity. Also reduce the risk of obesity.",,,,,,,,,,,,,,,,,,,,
Catenibacterium,Firmicutes,Helpful,More Energy,"It ferments glucose, mannose, galactose, fructose, sucrose, maltose, cellobiose, lactose and salicin in the production of lactic acid, acetic acid as well as iso-butyric acid.",,,,,,,,,,,,,,,,,,,,
Coprococcus,Firmicutes,Helpful,Mental Wellness,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has an anti-inflammatory capacity and neuroactive potential.",,,,,,,,,,,,,,,,,,,,
Defluviitaleaceae_UCG-011,Firmicutes,Helpful,Mental Wellness,"It utilizes carbohydrate to produce short chain fatty acids, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders.",,,,,,,,,,,,,,,,,,,,
Eubacterium,Firmicutes,Helpful,Mental Wellness,"It utilizes carbohydrate to produce short chain fatty acids, mainly butyrate, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders. Also provides protection against colorectal cancer, IBD and many other diseases.",,,,,,,,,,,,,,,,,,,,
Faecalibacterium,Firmicutes,Helpful,Mental Wellness,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has an anti-inflammatory capacity that promote gut health.",,,,,,,,,,,,,,,,,,,,
Gemmiger,Proteobacteria,Helpful,Metabolic disorders,Provide protection against IBD and liver diseases,,,,,,,,,,,,,,,,,,,,
Lactobacillus,Firmicutes,Helpful,Immunity,"It regulates luminal pH, enhance gut barrier function by increasing mucus production, secrete antimicrobial peptides, help in clearing the pathogens.",,,,,,,,,,,,,,,,,,,,
Lactococcus,Firmicutes,Helpful,Mental Wellness,"It utilizes carbohydrate to produce short chain fatty acids, mainly butyrate, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders. Also controls the growth of opportunistic pathogens in gut.",,,,,,,,,,,,,,,,,,,,
