"","PRISM.7122","PRISM.7147","PRISM.7150","PRISM.7153","PRISM.7184","PRISM.7238","PRISM.7406","PRISM.7408","PRISM.7421","PRISM.7445","PRISM.7486","PRISM.7496","PRISM.7506","PRISM.7547","PRISM.7658","PRISM.7744","PRISM.7759","PRISM.7762","PRISM.7776","PRISM.7791","PRISM.7843","PRISM.7852","PRISM.7875","PRISM.7897","PRISM.7938","PRISM.7941","PRISM.7947","PRISM.7948","PRISM.7971","PRISM.7989","PRISM.8095","PRISM.8096","PRISM.8101","PRISM.8106","PRISM.8129","PRISM.8226","PRISM.8264","PRISM.8275","PRISM.8336","PRISM.8361","PRISM.8374","PRISM.8377","PRISM.8406","PRISM.8441","PRISM.8444","PRISM.8447","PRISM.8452","PRISM.8458","PRISM.8462","PRISM.8464","PRISM.8466","PRISM.8467","PRISM.8475","PRISM.8480","PRISM.8483","PRISM.8485","PRISM.8496","PRISM.8502","PRISM.8503","PRISM.8511","PRISM.8513","PRISM.8515","PRISM.8523","PRISM.8534","PRISM.8537","PRISM.8550","PRISM.8564","PRISM.8565","PRISM.8573","PRISM.8577","PRISM.8591","PRISM.8592","PRISM.8605","PRISM.8624","PRISM.8628","PRISM.8629","PRISM.8667","PRISM.8675","PRISM.8692","PRISM.8696","PRISM.8728","PRISM.8734","PRISM.8735","PRISM.8746","PRISM.8749","PRISM.8753","PRISM.8758","PRISM.8778","PRISM.8783","PRISM.8785","PRISM.8794","PRISM.8795","PRISM.8800","PRISM.8802","PRISM.8803","PRISM.8805","PRISM.8806","PRISM.8807","PRISM.8809","PRISM.8815","PRISM.8841","PRISM.8843","PRISM.8844","PRISM.8846","PRISM.8847","PRISM.8849","PRISM.8878","PRISM.8882","PRISM.8892","PRISM.8894","PRISM.8898","PRISM.8924","PRISM.8932","PRISM.8982","PRISM.8998","PRISM.9010","PRISM.9018","PRISM.9030","PRISM.9033","PRISM.9074","PRISM.9079","Validation.UMCG0333264","Validation.UMCG1180653","Validation.UMCG1576297","Validation.UMCG1705352","Validation.UMCG1708847","Validation.UMCG2023308","Validation.UMCG2136686","Validation.UMCG2739287","Validation.UMCG2788516","Validation.UMCG3243705","Validation.UMCG3299495","Validation.UMCG3321127","Validation.UMCG3595094","Validation.UMCG3748218","Validation.UMCG4000898","Validation.UMCG4081271","Validation.UMCG4268471","Validation.UMCG4722506","Validation.UMCG4789724","Validation.UMCG4851027","Validation.UMCG5113553","Validation.UMCG5308346","Validation.UMCG5437940","Validation.UMCG5613882","Validation.UMCG5792346","Validation.UMCG5921444","Validation.UMCG6047689","Validation.UMCG6054655","Validation.UMCG6262744","Validation.UMCG6628208","Validation.UMCG6720116","Validation.UMCG6738619","Validation.UMCG6868484","Validation.UMCG6966873","Validation.UMCG7115152","Validation.UMCG7198526","Validation.UMCG7563651","Validation.UMCG8089650","Validation.UMCG8255148","Validation.UMCG8438880","Validation.UMCG9119812","Validation.UMCG9189151","Validation.UMCG9830707"
"C18:3 LPC",42.9904,46.2752,69.067,28.8582,105.043,48.7984,996.408,65.0342,38.7577,28.445,36.6875,38.6241,65.3986,26.8392,344.208,176.441,84.0746,90.5471,672.732,24.1311,35.9273,114.974,160.092,70.6376,32.3661,31.6436,31.9963,3538.64,54.4351,220.74,17.9974,242.241,85.2713,249.538,61.3281,57.2236,75.3443,38.3393,95.6663,450.798,560.673,129.451,0,152.338,487.132,230.396,142.171,102.913,108.28,97.2696,45.0664,578.847,37.3078,45153.6,74.4003,157.969,60.4162,7184.56,233.277,225.878,87.7217,99.165,8297.13,199.261,92.0029,150.322,109.518,401.36,86.4905,57.9722,1648.83,103.544,322.908,63.4892,307.973,39.1718,0,116.347,186.555,164.546,138.899,443.565,229.754,741.65,52.6804,49.4969,0,159.351,59.4532,138.632,61.0946,27.0461,43.6524,182.457,41.9565,60.2153,265.387,92.2693,174.449,104.391,69.6982,8.77823,35.6538,125.222,34.6356,170.181,205.933,212.453,66.8347,454.852,292.021,182.468,184.306,210.465,0,144.413,310.34,182.276,99.2581,47.2771,0,33.437,63.9111,70.1339,81.8254,220.914,65.0087,267.359,46.845,128.011,94.0987,84.7355,15.9545,85.228,69.3984,397.034,24.1997,215.207,23.081,20.1177,39.168,11.8511,493.252,230.635,25.3931,161.709,49.8643,399.969,37.5664,25.3331,216.532,166.337,66.5783,80.9789,71.0714,57.0663,227.706,21.1684,179.854,52.7938,125.822,36.8573,19.6763,29.1571
"C2 carnitine",292.494,367.213,803.603,646.483,38.5472,287.637,447.722,44.1352,911.112,278.397,1196.1,467.952,1323.21,418.169,238.158,145.865,412.645,1738.87,118.183,212.236,187.739,133.501,269.011,69.2342,56.9632,489.711,38.11,181.22,1693.95,29.0978,273.168,212.37,224.794,147.683,344.207,633.98,3514.31,838.324,94.9689,203.868,54.9001,429.578,996.713,767.29,57.4321,5014.13,182.08,597.235,234.395,817.576,1712.69,423.537,56.5306,101.494,238.262,121.255,1218.64,846.814,44.6093,288.128,228.231,497.294,323.385,196.182,559.841,85.6876,258.235,48.0941,1136.2,46.3064,189.791,393.142,169.592,2200.92,238.737,905.611,655.801,680.096,497.415,829.222,244.393,281.9,1116.94,255.575,95.7729,99.9716,82.6224,65.3567,103.044,729.568,1672.02,870.166,218.726,106.359,519.825,326.586,146.843,181.493,0,74.9204,0,102.187,291.707,256.284,264.345,0,96.8582,321.74,313.932,115.503,265.336,561.273,63.5412,103.52,879.989,857.802,119.117,371.748,160.026,136.322,1255.66,439.199,997.772,878.791,114.394,416.942,141.163,1722.49,114.836,386.543,306.515,70.4624,398.1,170.26,216.528,443.531,6814.54,40.1056,619.186,174.995,942.799,345.5,360.313,174.785,46.3327,1530.02,129.895,493.526,635.183,113.857,558.765,354.896,41.7081,133.317,442.981,364.463,789.196,557.551,111.308,937.415,491.943,1064.97,56.733,667.964
"C20 carnitine",597.692,191.814,1984.7,192.886,206.98,53.6971,222.108,305.859,129.45,128.69,192.126,402.25,169.885,168.298,304.469,451.602,440.713,454.393,274.233,300.259,179.618,185.291,273.7,239.35,734.792,166.277,167.635,140.08,101.576,452.001,89.5213,483.1,418.513,355.299,269.515,621.564,101.298,124.827,369.668,535.148,161.063,332.26,8705.3,2696.55,128.03,120.756,750.606,298.411,754.39,431.932,94.5166,321.498,168.719,418.352,252.982,145.565,214.798,225.282,1694.03,352.684,257.838,146.691,475.298,1566.44,376.021,1277.8,302.599,425.523,195.476,288.891,204.108,272.438,508.34,349.879,860.403,1924.21,756.747,1572.92,170.937,375.084,391.733,797.031,186.769,532.671,37.4393,1802.56,721.536,116.24,399.786,164.939,284.98,175.33,446.874,307.775,240.582,329.322,261.177,256.063,2278.61,1147.29,3150.16,112.729,101.299,312.063,289.111,574.994,306.408,457.616,274.231,359.447,589.731,385.454,810.196,334.98,213.913,443.7,502.225,467.378,195.082,825.297,252.513,175.72,387.818,401.492,593.165,194.142,369.935,298.258,270.323,200.91,289.526,690.326,256.66,373.14,315.969,309.56,103.698,550.395,324.036,502.701,216.428,176.999,277.206,249.937,234.291,199.273,721.369,147.128,177.564,166.397,605.809,432.759,318.598,130.915,6483.52,137.947,253.593,149.316,34.9349,836.352,536.936,271.77,124.577,325.549
"C20:0 LPE",38.963,21.8343,51.7789,12.9654,44.7396,20.8679,218.252,50.6983,55.4644,40.4646,171.144,204.554,43.1429,50.1395,173.943,49.0481,591.42,23.3637,221.491,66.3954,26.5538,196.425,132.207,222.659,0,15.3385,0,131.898,15.9139,0,0,552.898,55.6741,906.784,248.352,0,81.4325,40.9956,0,165.756,49.6301,40.3948,34.7082,95.0483,149.988,53.4882,209.104,116.539,43.9907,91.8153,15.1878,354.906,93.2255,29046.7,26.4979,23.9564,44.3556,10063.5,187.274,148.232,83.5937,59.5567,10268.4,71.6137,33.4993,365.282,99.1824,263.126,119.348,69.6289,74.6149,38.6917,896.167,52.1153,103.234,25.6706,88.4845,23.4812,38.1707,361.312,0,324.356,117.703,48.804,0,36.7443,0,329.448,44.4647,43.7633,372.972,23.8233,230.384,71.0175,36.5222,49.0174,465.109,0,165.156,135.515,75.1427,22.3692,18.8652,211.706,37.857,51.078,561.346,176.308,102.42,244.328,485.221,53.5979,173.6,53.0523,71.44,721.911,300.89,75.8313,190.221,0,56.0679,120.644,235.687,69.234,40.1498,110.724,729.596,256.593,355.468,81.4497,96.3066,529.017,126.307,445.744,347.004,393.34,64.9794,0,26.9611,16.8497,147.343,235.33,411.943,153.347,55.2858,68.2987,150.952,100.613,39.24,59.884,1523.17,50.9275,100.935,39.6169,60.5863,25.4466,124.949,19.8927,141.505,83.417,486.537,86.8347,152.307,69.1145
"C20:3 CE",2791.65,12743.1,3395.19,7814.52,4494.64,742.103,20864.7,635.93,13577.2,5923.38,13568.5,19768.2,17243.6,12228.3,4017.02,1619.62,6592.28,9217.67,2738.36,13150.8,2523.95,1195.51,20262.9,24546.8,338.834,16975.7,526.615,4415.44,17533,94.0867,1417.58,2623.78,11985.6,2041.03,7195.81,7194.4,18985.7,14586.1,920.793,2421.17,1946,12573.4,15428.7,601.909,1414.47,6834.44,1681.96,1756.18,1067.92,3176.18,6833.05,4139.28,1236.39,3456.14,2792.33,330.865,4031.41,5757.43,615.595,8358.52,6630.13,19148.5,5291.54,1022.08,5337.71,1146.42,9443.69,1053.44,14507.1,1271.19,1636.59,16917.3,4213.11,4744.87,1507.03,12930.2,11999.3,8263.17,9962.75,8632.26,9253.76,3948.46,20064.3,3701.1,343.604,755.846,404.907,3717.26,405.414,2332.75,11449,3783.72,2938.74,2767.09,16829.1,16709.8,1806.84,3599.45,317.173,489.382,692.455,118.661,3818.15,5614.76,10431.7,85.5017,2320.3,9084.91,7674.9,1020.13,4453.96,1066.62,801.747,1480.03,25948.5,1188.3,1332.69,1142.46,10549.8,6676.56,24778.5,16925.2,7225.35,10388.3,22900.5,1343.17,415.299,4568.01,16306.3,7851.71,2322.26,2490,16567.2,3316.6,1172.36,16667.1,1547.15,12644.5,12429.1,15950.2,14004.7,15794.4,9137.06,417.623,223.378,3185.49,1670.99,5591.77,15280.7,2707.72,9713.74,2844.09,1975.84,1141.23,13176.5,2641.52,9450.44,9491.65,1398.21,5413.93,16948.5,18377.8,7784.58,19363.2
"C20:3 CE*",61.0657,111.057,46.3792,19.3046,109.552,33.4044,2604.83,53.2662,37.5542,21.4992,22.4493,46.9848,441.09,47.3487,263.463,131.504,111.896,68.5626,246.462,30.6844,13.6983,61.3976,43.1596,142.508,0,62.2811,0,506.403,27.2201,39.368,0,170.576,84.2153,263.999,15.5874,32.2286,526.603,68.8304,37.7439,239.571,56.3049,139.053,13.4803,104.098,374.88,210.879,112.7,214.1,39.582,60.2245,16.3373,214.761,49.3191,44288.9,56.5518,74.8327,29.8991,6735.05,395.686,139.499,75.4575,806.722,10190.8,121.73,40.39,152.518,340.221,189.721,54.7102,41.3963,228.022,104.167,370.514,41.356,183.876,0,0,67.9997,112.534,78.9406,153.241,326.265,424.463,258.506,32.2391,16.6205,0,244.316,23.6934,68.0894,39.0777,29.56,35.0672,80.6164,24.0998,65.6254,200.283,50.0008,125.154,56.6806,116.388,0,37.796,49.4925,21.451,37.4643,294.373,218.676,32.5583,187.656,334.398,116.768,149.275,155.351,0,164.971,241.628,81.7585,391.72,0,0,31.0089,30.9981,844.198,121.877,280.899,105.164,123.542,59.0042,72.0004,105.183,90.2672,15.8627,74.7285,54.8984,81.4013,22.669,53.696,18.4304,21.0506,34.9386,27.2018,393.167,83.5222,19.5932,103.635,29.0345,195.795,61.1996,30.345,244.73,207.809,51.2926,53.7692,53.4904,37.5586,135.408,20.2487,254.671,35.8285,79.1378,20.1199,18.0399,21.02
"C20:4 CE",2055.68645,5719.02935,2958.5382,6243.79775,2324.8745,296.8458,8583.165,280.9178872,7930.3929,4407.0214,6228.62285,9478.87815,11238.8595,6873.22925,4261.734,610.0814,3980.11225,5953.79335,1858.8375,7057.14585,866.06779,980.0978,9600.21485,2195.63595,123.821,11116.78955,537.17,2521.676,11388.226,79.35675,1154.49,1740.8515,3553.0346,1025.6008,2129.1207,7168.7,12263.3305,10505.4173,646.9867,1139.00875,603.67,10205.437,6817.2564,465.73215,725.8665,3239.3825,1127.295,2050.5215,1144.8613,5474.9057,3918.26845,5995.5315,962.41325,7639.245,4439.5849,997.028,2543.1486,3656.035,398.3105,4530.47565,3970.16115,6693.0912,3413.745,395.49635,1984.885,448.72325,2581.3016,1043.292,7864.65215,552.9207,2142.583,8407.71765,1819.6173,5907.75875,907.97855,9529.75,10168.85,5783.8745,4519.5624,5253.3949,2968.515,1921.8697,13542.782,4255.3895,1447.50395,715.23325,265.933,1532.6408,580.9,2124.74305,5720.20455,2759.745,3050.075,1383.1554,7701.1,9604.0118,2283.0333,4879.68785,198.7815,261.32075,361.27295,220.348,5224.86255,6149,3854.435,36.1493,1703.563,7267.8275,5567.25,983.1495,3871.75495,646.6515,450.36965,751.70995,16549.45,882.03895,1399.73625,445.3289,3773.88,4261.68,13719.85,10390.9867,2693.859,5616.0475,5814.29135,1273.8335,491.1185,3550.9214,4539.1427,4222.7515,1052.39875,812.47555,10060.206985,1160.915,793.535,3395.00205,2912.11,3707.04335,7330,6257.95945,8974.06335,6303.4,5143.147,447.55735,197.0455,3615.04435,1107.505,4571.9445,9665.248,596.7135,1515.5805,1416.8045,746.8731,438.19175,9766.2621,2285.2536,4693.9549,3874.087035,449.497,1320.23,7408.5807,8204.1,1887.1084,13525.25
"C20:4 carnitine",0,0,0,0,0,0,39.9365,0,0,0,0,0,0,0,0,0,0,0,30.0002,0,0,0,168.463,0,0,0,0,0,0,0,0,404.654,0,350.15,64.1899,42.3043,0,56.9635,0,35.9022,0,0,0,0,16.1665,0,77.2424,0,13.1969,0,0,0,0,12248.3,0,10.0325,0,4081.84,0,48.1256,0,0,4165.03,0,0,81.1229,0,144.958,0,0,12.9611,0,613.554,0,0,0,0,0,0,0,0,117.356,21.4672,0,0,0,0,66.49,0,14.8626,0,0,0,0,0,50.584,166.102,0,0,0,40.4492,0,0,0,0,0,163.872,95.4991,0,0,196.438,0,62.545,0,0,0,74.8674,0,8.64038,0,0,0,0,0,16.0112,0,0,0,0,0,0,0,0,0.0734207,34.5928,0,0,0,0,11.7476,0,0,93.993,26.2092,0,0,0,19.4187,0,0,0,0,0,0,9.16225,0,0,0,17.7509,0,0,28.3647,0,0
"C20:5 CE",3171.35,6350.38,6048.68,12272.2,1314.13,208.003,8185.85,432.022,13504.9,6591.9,8069.65,11100.2,13017.4,7481.49,7776.86,877.776,6927.59,14744.8,3342.32,8193.67,1047.17,2673.2,7265.63,1526.66,79.5111,16936.3,821.158,2852.13,14520.2,49.4783,873.565,2757.41,7766.08,1588.32,1670.76,10264.4,18259.4,16390.7,591.753,1863.28,769.665,16247,12277.9,1988.92,863.668,10233.9,2033.13,5159.17,1816.78,14213.9,6851.87,12450.9,956.653,252.741,10584.8,2057.55,6516.26,3818.27,518.7,4611.59,11648.4,9291.31,1263.2,295.188,4478.89,330.395,3475.28,1126.85,12991.1,432.717,4090.85,10317,1289.96,21210.1,2411.43,23687.1,16726.9,10354.5,9424.84,10418.6,3438.49,2474.22,24134.9,7281.62,950.872,876.377,518.628,725.015,2227.34,4109.52,6974.39,4060.72,7008.41,1990.54,6346.38,8439.4,3887.23,9546.02,307.506,362.475,213.17,307.664,7071.18,14199.1,5940.81,105.21,1444.26,7656.35,5940.85,2367.86,7219.94,2187.4,535.802,915.756,18733.5,2316.6,4056.91,1032.09,2981.78,4655.58,21215.5,16472,5156.26,5875.33,1387.86,3929.46,2266.12,11148.7,4109.79,15404.5,2174.65,667.3,16357.1,1676.08,1979.05,3192.9,9672.86,855.044,18387,7258.83,12432,5595.62,7263.3,1443.64,198.382,12897.6,2976.65,19674.1,14697.4,277.024,2264.1,2439.98,542.823,1155.1,18151.4,4709.07,12853,3400.48,464.173,1261.82,6249.96,4109.41,1044.13,19808.1
"C20:5 LPC",19.2552,0,0,12.8954,14.1825,0,718.563,0,14.4449,0,15.6995,218.474,14.5693,0,244.995,17.9583,35.6194,19.7052,78.0392,12.0961,0,0,0,0,0,12.9238,0,66.2114,48.4758,0,0,0,14.8808,0,0,0,43.1193,17.0185,47.5645,28.9449,0,49.2433,0,39.6236,43.3351,181.089,0,26.8644,30.3367,57.7924,12.7672,399.869,23.4331,1299.99,51.4081,21.4092,24.6355,122.242,49.1242,0,22.8999,24.4882,145.659,0,0,0,16.6523,108.749,30.7914,13.4641,24.9102,0,0,17.7177,0,0,0,115.6,32.5616,54.1288,43.5405,0,82.8017,458.835,41.7596,0,0,32.0966,13.3481,51.2589,0,0,0,25.8026,0,0,0,51.2599,0,0,0,0,0,19.6818,0,0,24.7993,31.4969,0,51.724,20.7213,105.466,0,59.2189,0,63.1946,49.5597,71.5375,14.7691,0,0,21.6781,0,0,29.9274,75.9548,0,52.3361,0,30.7301,0,0,0,0,0,60.2053,37.3404,0,85.6278,0,0,0,21.0626,28.9798,0,31.8989,0,248.293,14.2423,0,233.594,74.0576,25.1998,17.064,41.8135,13.0282,56.0751,14.3285,53.2778,99.5036,67.8542,0,0,0
"C22:0 SM",0,28.6092,18.2838,0,15.5332,0,46.6996,45.3342,0,0,0,150.286,0,0,0,14.7416,0,0,62.1355,0,0,48.8787,39.6466,0,0,0,0,1083.51,0,78.9987,0,76.7874,14.8316,63.5407,0,0,0,0,0,31.6478,267.015,0,0,20.1393,59.3141,0,51.761,0,0,0,17.934,36.0665,60.3702,9664.43,0,9.81703,0,683.179,20.6286,23.657,0,15.0179,888.094,0,33.2346,0,0,37.2748,15.3729,13.1677,485.218,22.1522,150.647,0,30.1088,0,0,0,0,0,23.8179,57.1795,0,0,0,0,0,11.0117,0,0,0,0,0,0,36.0921,0,40.9247,0,0,0,0,0,0,0,0,0,0,28.3623,0,42.3127,20.4098,0,0,38.7483,0,0,0,0,9.81353,0,0,0,20.8929,0,44.4487,0,0,54.4801,0,0,0,32.0283,0,58.3028,0,0,46.6759,77.2968,44.0209,0,0,0,13.9448,0,0,0,0,0,0,0,0,19.4367,0,17.0444,0,0,27.1767,0,0,148.42,0,0,0,0
"C22:1 MAG",16.256,0,19.2681,12.4214,0,71.4198,38.4701,46.8425,26.7968,141.729,109.883,36.8854,13.9456,19.4459,38.9255,13.9631,208.997,5.87264,25.9923,0,68.7475,0,85.4662,387.253,87.7323,16.5256,0,100.827,27.7563,48.5606,149.42,46.1246,0,115.683,54.6526,152.355,0,25.1078,106.832,283.248,16.7059,0,34.6278,0,0,16.677,148.639,0,253.385,153.799,0,0,349.81,0,31.4837,94.6693,64.9416,0,21.6711,0,0,36.4655,33.1755,402.333,78.3586,175.938,128.085,104.769,33.2318,0,40.4333,23.4401,0,0,20.881,66.6024,132.194,23.4138,0,56.7416,0,317.886,0,113.474,13.138,44.2034,250.4,0,149.126,0,0,55.1773,266.029,55.9029,62.2492,25.8701,64.4021,63.6837,0,201.739,41.3024,75.368,25.4765,106.359,194.25,324.769,115.438,94.2715,175.762,0,57.7506,0,0,34.8632,22.9375,0,0,68.6978,12.0097,0,0,47.3464,0,6.09516,0,0,234.894,0,41.491,221.416,0,72.4665,65.6585,0,101.759,0,85.2063,112.256,100.191,0,63.6689,0,77.5538,71.453,65.2176,296.496,0,0,0,20.0142,0,29.8992,0,0,0,89.9537,53.0071,0,43.6098,290.772,55.0002,47.3965,44.2137,36.2641
"C22:1 SM",0,0,0,0,0,8.49428,14.075,0,0,0,0,0,0,0,0,26.0528,0,0,42.9064,0,0,128.848,24.7293,0,0,0,0,0,0,0,0,66.1288,17.5573,101.741,0,0,0,10.7216,0,35.2488,0,0,0,21.752,16.561,13.4671,0,28.018,0,0,0,0,0,4152.54,0,10.956,0,1305.95,0,26.1998,16.5398,0,926.233,0,0,21.9754,0,52.2499,0,0,31.7625,0,136.769,0,0,0,0,9.61913,0,0,0,62.0911,0,0,0,0,0,0,0,0,0,0,0,66.1147,0,0,61.6329,0,0,0,0,0,0,0,0,0,52.7953,0,0,0,69.1028,0,92.5473,0,0,0,0,0,0,0,0,0,17.7608,0,0.116064,18.2456,0,0,0,0,0,0,0,54.8761,29.1304,0,15.3938,0,0,0,0,0,61.3813,0,0,0,0,0,0,0,52.3428,0,0,0,0,0,23.0316,0,0,0,21.6512,0,0,0
"C22:4 CE",0,0,0,0,0,11302,48.9947,0,0,0,0,0,0,5.78295,0,0,6.48231,0,29.6336,0,4.92588,5.48071,0,0,31.5603,46.6884,403.568,3.26708,488.5,156.489,26.9707,53.1114,0,5374.31,16.5472,141.381,214.268,78.2187,10307.2,99.4573,0,6.37075,8.12478,0,0,0,287.419,5.54643,5.45552,0,7.77537,6.1667,18.9427,4766.44,5.06619,8.89249,0,384.155,0,4.69021,0,0,17.6265,13199.8,0,359.36,0,2231.98,32.3169,0,108.454,0,357.473,0,0,9259.74,0,0,0,0,0,0,54.3108,1095.24,293.075,36.7293,1328.09,0,0,7.2388,0,0,0,0,0,91.6671,158.466,2164.08,39.5696,262.352,2344.89,0,38.0074,0,0,163.313,26.8479,8.95845,49.5776,0,0,0,293.279,0,26.9123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7341,0,1.12309,0,4.07096,20.9662,0,0,1412.94,0,5.30156,1438.81,3.40509,54.8163,49.016,2.45467,4.41033,4.42459,0,0,5.55926,4.10203,0,0,0,0,9.03854,18.1496,4.20213,294.804,0,8.86542,35.8264,3.69016,11.1023
"C22:4 CE*",0,18.6717,10.4716,0,0,0,211.526,0,0,0,11.3727,64.8777,0,0,0,64.6498,0,3809.59,0,29.479,0,1076.71,0,0,0,31.5006,29.5143,0,109.708,0,0,43.0603,25.8926,0,0,0,95.1666,14.2435,27.7947,63.1329,27.2753,25.4648,0,0,0,13.773,41.418,34.574,0,37.999,519.573,0,35.5768,51.3064,0,2361.52,0,54.2478,60.6053,506.329,0,25.2569,30.0635,0,0,0,2040.12,0,153.455,17.0556,1421.75,31.1987,0,29.6943,12859.8,259.499,0,0,394.188,23.433,0,43.1434,46.8175,0,6163.55,0,0,9.59544,171.377,50.9861,0,0,42.7835,139.161,0,0,0,0,127.299,49.617,49.7555,3488.12,3778.8,75.8569,36.3056,0,53.856,50.5188,0,0,0,9919.37,0,111.363,0,0,2523.55,93.5788,11.3552,44.1684,0,34.3723,1047.86,27.7637,145.644,183.526,297.433,85.924,436.791,345.262,199.398,21.9997,190.189,218.495,0,734.956,3898.89,0,211.49,87.6853,509.462,120.287,46.7558,63.3703,1786.06,37.7375,87.948,44.9816,67.3968,33.6596,158.86,304.428,0,282.962,98.9426,24.0023,54.3553,271.73,0,277.478,236.653,0,97.2374,0
"C22:5 CE",0,0,0,0,0,0,124.87,0,0,0,0,23.3089,3.44483,0,0,40.8508,0,13395.2,0,0,0,506.113,0,0,0,4.46459,9.65451,0,51.6432,0,0,0,12.9087,26.3493,0,0,34.0144,0,0,26.6129,9.25445,5.89374,0,0,0,11.9417,0,0,0,0,327.722,0,0,35.3993,0,1341.1,0,0,35.8069,234.312,0,0,0,0,0,0,1115.88,0,79.0152,0,812.106,15.8484,30.0101,14.7416,47384.7,96.8483,0,0,335.351,0,0,0,11.775,0,21409.6,0,0,20.0544,55.5171,19.1825,0,0,0,57.0217,0,0,0,0,0,0,0,2455.17,2704.76,25.5987,0,0,0,0,0,0,0,17071.1,0,54.4516,0,0,969.995,0,10.0507,0,0,12.9735,530.87,0,87.2326,90.1124,121.571,35.6181,172.47,117.738,84.8573,0,48.2899,105.37,0,313.895,4469.56,0,116.899,15.4448,283.141,57.1783,16.2795,25.9132,738.046,0,36.2547,18.967,60.3141,0,60.4283,195.268,0,228.866,43.9029,0,25.0934,214.001,0,109.717,85.8453,0,0,0
"C22:5 CE*",29.6096,22.807,0,12.3596,0,12.9946,178.501,0,16.4491,17.0733,11.38,54.1253,13.8487,0,0,35.3937,0,2520.04,0,16.6867,5.91921,703.265,14.9514,0,0,0,23.5846,11.083,41.0683,0,0,84.366,33.8582,33.3809,11.9843,0,37.418,0,18.9828,155.429,21.3808,97.3702,0,24.9071,46.8872,0,109.97,40.0567,0,0,73.0031,27.919,99.7181,88.2852,0,1020.32,0,157.021,40.4567,478.396,0,0,104.936,0,0,57.2531,735.803,0,67.3418,24.2617,801.122,38.0873,0,0,11443.9,100.816,0,12.697,176.243,25.6035,0,41.4143,0,0,4523.85,0,0,0,285.902,61.1161,0,0,57.1576,61.4903,26.3739,0,0,0,83.9586,56.234,77.6697,1644.09,1592.87,316.926,38.5503,0,25.4492,431.6,0,0,28.66,8095.79,40.5166,110.821,0,58.862,1229.47,157.806,0,49.2724,0,12.3545,392.691,2.32435,72.3299,69.7005,71.4826,101.683,217.887,111.821,162.734,38.4836,58.5948,191.844,0,488.975,762.066,18.4662,288.557,0,752.01,195.578,48.1172,80.4978,346.058,26.7851,71.5082,29.3059,35.5231,59.5456,384.994,123.367,0,84.5581,110.996,26.2611,50.1208,179.223,0,120.08,66.1951,0,47.0803,0
"C22:6 CE",0,53.6522,54.9452,24.3195,40.2654,0,54.8799,0,2.16905,18.9404,0,56.4103,9.77699,0,0,21.1366,4.76614,118.085,0,0.00732767,0,0,0,0.0263753,0,0,39.5907,3.98682,96.0052,0,0,0,65.9412,2.95927,0,0,80.1424,0,0,42.8271,2.1899,0,0,0.00990756,0,1.06084,42.8103,38.7818,0,6.76637,75.5901,34.4439,0.0179024,97.5609,0,1311.39,0,123.312,42.0346,490.248,3.36186,2.41713,59.1274,0,0,0,424.527,0,177.954,51.442,339.189,0,0,0.0152259,162.42,98.9938,0,9.09403,331.79,25.3689,0,39.7454,67.5073,0,5585.07,4.64496,0,18.8152,35.43,26.4131,0,0,47.9781,44.2622,0,0,0,0,0,63.4212,0,1021.58,2522.65,0,48.1358,0,0,0,5.73568,0.0395747,0,69.6495,0,182.448,0,0,1160.01,75.7052,14.1294,77.3698,0,0,486.045,7.59807,48.3214,0,0,29.8004,69.213,0,40.0999,0,53.9674,50.9717,0,718.175,414.623,0,216.945,15.4207,467.167,104.478,40.5618,30.0541,0,0,33.5856,16.0205,11.5266,0,63.9841,62.5322,15.3369,0,0,19.6353,28.9548,263.091,0,197.136,0,0,0,0
"C24:0 SM",0,0,0,0,0,0,18.8594,0,0,0,0,18.5478,0,0,0,0,0,162.456,0,0,0,0,0,0,0,0,0,0,39.7845,0,0,0,0,0,0,0,20.1821,0,0,0,0,0,0,0,9.12432,9.62621,0,0,0,0,194.809,0,0,25.4992,0,490.343,0,40.1513,17.9186,170.866,0,0,0,0,0,0,147.506,0,112.989,0,119.492,0,0,0,65.3731,31.0967,0,0,194.094,0,0,0,25.4824,0,8570.33,0,0,0,0,0,0,0,0,0,18.7906,0,0,0,0,0,0,363.005,1153.65,0,0,0,0,0,0,0,0,25.0985,0,43.1312,0,0,354.923,0,0,0,0,0,202.179,0,20.5374,17.3224,0,0,0,0,0,0,0,0,0,245.93,1552.83,0,94.6884,0,187.909,38.9974,0,0,0,0,0,0,0,0,0,26.9354,0,12.5183,0,0,0,141.428,0,79.9785,0,0,0,0
